page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
  70    69 image    2754  2082  rgb     3   8  jpeg   no       211  0   300   300 1393K 8.3%
  71    70 image    2763  2086  rgb     3   8  jpeg   no       214  0   300   300 1422K 8.4%
  72    71 image    2763  2074  rgb     3   8  jpeg   no       217  0   300   300 1416K 8.4%
  73    72 image    2763  2065  rgb     3   8  jpeg   no       220  0   300   300 1473K 8.8%
  74    73 image    2763  2065  rgb     3   8  jpeg   no       223  0   300   300 1368K 8.2%
  75    74 image    2763  2066  rgb     3   8  jpeg   no       226  0   300   300 1479K 8.8%
  76    75 image    2763  2075  rgb     3   8  jpeg   no       229  0   300   300 1408K 8.4%
  77    76 image    2763  2075  rgb     3   8  jpeg   no       232  0   300   300 1465K 8.7%
  78    77 image    2763  2075  rgb     3   8  jpeg   no       235  0   300   300 1426K 8.5%
  79    78 image    2763  2098  rgb     3   8  jpeg   no       238  0   300   300 1475K 8.7%
  80    79 image    2755  2093  rgb     3   8  jpeg   no       241  0   300   300 1421K 8.4%
  81    80 image    2752  2072  rgb     3   8  jpeg   no       244  0   300   300 1434K 8.6%
  82    81 image    2752  2080  rgb     3   8  jpeg   no       247  0   300   300 1384K 8.3%
  83    82 image    2752  2102  rgb     3   8  jpeg   no       250  0   300   300 1438K 8.5%
  84    83 image    2752  2076  rgb     3   8  jpeg   no       253  0   300   300 1393K 8.3%
  85    84 image    2752  2093  rgb     3   8  jpeg   no       256  0   300   300 1382K 8.2%
  86    85 image    2752  2102  rgb     3   8  jpeg   no       259  0   300   300 1353K 8.0%
  87    86 image    2735  2084  rgb     3   8  jpeg   no       262  0   300   300 1305K 7.8%
  88    87 image    2735  2066  rgb     3   8  jpeg   no       265  0   300   300 1326K 8.0%
  89    88 image    2735  2084  rgb     3   8  jpeg   no       268  0   300   300 1320K 7.9%
  90    89 image    2735  2075  rgb     3   8  jpeg   no       271  0   300   300 1335K 8.0%
  91    90 image    2753  2083  rgb     3   8  jpeg   no       274  0   300   300  782K 4.7%
  92    91 image    2753  2074  rgb     3   8  jpeg   no       277  0   300   300  951K 5.7%
  93    92 image    2741  2074  rgb     3   8  jpeg   no       280  0   300   300 1375K 8.3%
  94    93 image    2720  2065  rgb     3   8  jpeg   no       283  0   300   300 1315K 8.0%
  95    94 image    2742  2091  rgb     3   8  jpeg   no       286  0   300   300 1398K 8.3%
  96    95 image    2760  2079  rgb     3   8  jpeg   no       289  0   300   300 1318K 7.8%
  97    96 image    2739  2063  rgb     3   8  jpeg   no       292  0   300   300 1319K 8.0%
  98    97 image    2727  2067  rgb     3   8  jpeg   no       295  0   300   300 1408K 8.5%
  99    98 image    2736  2083  rgb     3   8  jpeg   no       298  0   300   300 1393K 8.3%
 100    99 image    2743  2103  rgb     3   8  jpeg   no       301  0   300   300 1254K 7.4%
 101   100 image    2747  2090  rgb     3   8  jpeg   no       304  0   300   300 1346K 8.0%
 102   101 image    2733  2116  rgb     3   8  jpeg   no       307  0   300   300 1310K 7.7%
 103   102 image    2721  2072  rgb     3   8  jpeg   no       310  0   300   300 1379K 8.3%
 104   103 image    2761  2079  rgb     3   8  jpeg   no       313  0   300   300 1328K 7.9%
